0 U (0, 0) [0, 0]
8619 R (-6, -15) [0, 10]
8620 U (-6, -14) [0, 14]
8621 R (-5, -14) [0, 8]
8622 D (-5, -15) [0, 6]
8623 L (-6, -15) [1, 11]
8624 U (-6, -14) [1, 15]
8625 R (-5, -14) [1, 9]
8626 D (-5, -15) [1, 7]
8627 R (-4, -15) [1, 3]
8628 U (-4, -14) [1, 5]
8629 R (-3, -14) [0, 2]
8630 D (-3, -15) [0, 2]
8631 L (-4, -15) [0, 4]
8632 U (-4, -14) [0, 6]
8633 R (-3, -14) [1, 3]
8634 D (-3, -15) [1, 3]
8635 L (-4, -15) [1, 5]
8636 U (-4, -14) [1, 7]
8637 R (-3, -14) [0, 4]
8638 U (-3, -13) [1, 5]
8639 R (-2, -13) [1, 5]
8640 U (-2, -12) [1, 7]
8641 L (-3, -12) [1, 5]
8642 D (-3, -13) [0, 6]
8643 L (-4, -13) [1, 3]
8644 U (-4, -12) [0, 0]
8645 L (-5, -12) [1, 1]
8646 U (-5, -11) [0, 0]
8647 L (-6, -11) [1, 1]
8648 D (-6, -12) [1, 3]
8649 L (-7, -12) [1, 3]
8650 U (-7, -11) [0, 2]
8651 L (-8, -11) [1, 5]
8652 U (-8, -10) [0, 2]
8653 R (-7, -10) [0, 2]
8654 U (-7, -9) [0, 0]
8655 R (-6, -9) [0, 0]
8656 U (-6, -8) [0, 0]
8657 R (-5, -8) [0, 0]
8658 U (-5, -7) [0, 0]
8659 L (-6, -7) [0, 0]
8660 D (-6, -8) [1, 1]
8661 R (-5, -8) [1, 1]
8662 D (-5, -9) [1, 1]
8663 R (-4, -9) [1, 1]
8664 U (-4, -8) [0, 2]
8665 R (-3, -8) [0, 2]
8666 D (-3, -9) [0, 2]
8667 L (-4, -9) [0, 2]
8668 U (-4, -8) [1, 3]
8669 L (-5, -8) [0, 2]
8670 U (-5, -7) [1, 1]
8671 R (-4, -7) [1, 1]
8672 D (-4, -8) [0, 4]
8673 R (-3, -8) [1, 3]
8674 D (-3, -9) [1, 3]
8675 R (-2, -9) [1, 3]
8676 U (-2, -8) [1, 1]
8677 L (-3, -8) [0, 4]
8678 U (-3, -7) [0, 2]
8679 L (-4, -7) [0, 2]
8680 U (-4, -6) [0, 2]
8681 L (-5, -6) [1, 1]
8682 U (-5, -5) [0, 2]
8683 R (-4, -5) [1, 3]
8684 D (-4, -6) [1, 3]
8685 L (-5, -6) [0, 2]
8686 D (-5, -7) [0, 2]
8687 R (-4, -7) [1, 3]
8688 U (-4, -6) [0, 4]
8689 R (-3, -6) [0, 4]
8690 D (-3, -7) [1, 3]
8691 R (-2, -7) [1, 5]
8692 D (-2, -8) [0, 2]
8693 L (-3, -8) [1, 5]
8694 U (-3, -7) [0, 4]
8695 L (-4, -7) [0, 4]
8696 U (-4, -6) [1, 5]
8697 L (-5, -6) [1, 3]
8698 U (-5, -5) [1, 3]
8699 L (-6, -5) [0, 0]
8700 U (-6, -4) [0, 0]
8701 L (-7, -4) [0, 0]
8702 D (-7, -5) [0, 0]
8703 L (-8, -5) [0, 0]
8704 D (-8, -6) [0, 0]
8705 L (-9, -6) [0, 0]
8706 U (-9, -5) [0, 0]
8707 L (-10, -5) [0, 0]
8708 D (-10, -6) [0, 0]
8709 R (-9, -6) [1, 1]
8710 U (-9, -5) [1, 1]
8711 L (-10, -5) [1, 1]
8712 D (-10, -6) [1, 1]
8713 R (-9, -6) [0, 2]
8714 D (-9, -7) [0, 0]
8715 L (-10, -7) [0, 0]
8716 U (-10, -6) [0, 2]
8717 R (-9, -6) [1, 3]
8718 U (-9, -5) [0, 2]
8719 R (-8, -5) [1, 1]
8720 D (-8, -6) [1, 1]
8721 L (-9, -6) [0, 4]
8722 D (-9, -7) [1, 1]
8723 L (-10, -7) [1, 1]
8724 D (-10, -8) [0, 0]
8725 L (-11, -8) [0, 0]
8726 U (-11, -7) [0, 0]
8727 R (-10, -7) [0, 2]
8728 U (-10, -6) [1, 3]
8729 L (-11, -6) [0, 0]
8730 D (-11, -7) [1, 1]
8731 L (-12, -7) [0, 0]
8732 U (-12, -6) [0, 0]
8733 L (-13, -6) [0, 0]
8734 D (-13, -7) [0, 0]
8735 L (-14, -7) [0, 0]
8736 U (-14, -6) [0, 0]
8737 R (-13, -6) [1, 1]
8738 U (-13, -5) [0, 0]
8739 L (-14, -5) [0, 0]
8740 U (-14, -4) [0, 0]
8741 L (-15, -4) [0, 0]
8742 U (-15, -3) [0, 0]
8743 R (-14, -3) [0, 0]
8744 D (-14, -4) [1, 1]
8745 R (-13, -4) [0, 0]
8746 D (-13, -5) [1, 1]
8747 R (-12, -5) [0, 0]
8748 U (-12, -4) [0, 0]
8749 R (-11, -4) [0, 0]
8750 D (-11, -5) [0, 0]
8751 L (-12, -5) [1, 1]
8752 D (-12, -6) [1, 1]
8753 R (-11, -6) [1, 1]
8754 U (-11, -5) [1, 1]
8755 R (-10, -5) [0, 2]
8756 D (-10, -6) [0, 4]
8757 R (-9, -6) [1, 5]
8758 U (-9, -5) [1, 3]
8759 L (-10, -5) [1, 3]
8760 D (-10, -6) [1, 5]
8761 R (-9, -6) [0, 6]
8762 U (-9, -5) [0, 4]
8763 L (-10, -5) [0, 4]
8764 D (-10, -6) [0, 6]
8765 R (-9, -6) [1, 7]
8766 U (-9, -5) [1, 5]
8767 L (-10, -5) [1, 5]
8768 U (-10, -4) [0, 0]
8769 L (-11, -4) [1, 1]
8770 U (-11, -3) [0, 0]
8771 L (-12, -3) [0, 0]
8772 U (-12, -2) [0, 0]
8773 R (-11, -2) [0, 0]
8774 D (-11, -3) [1, 1]
8775 R (-10, -3) [0, 0]
8776 U (-10, -2) [0, 0]
8777 L (-11, -2) [1, 1]
8778 U (-11, -1) [0, 0]
8779 R (-10, -1) [0, 0]
8780 U (-10, 0) [0, 0]
8781 R (-9, 0) [0, 0]
8782 D (-9, -1) [0, 0]
8783 L (-10, -1) [1, 1]
8784 D (-10, -2) [1, 1]
8785 L (-11, -2) [0, 2]
8786 U (-11, -1) [1, 1]
8787 L (-12, -1) [0, 0]
8788 D (-12, -2) [1, 1]
8789 R (-11, -2) [1, 3]
8790 U (-11, -1) [0, 2]
8791 R (-10, -1) [0, 2]
8792 D (-10, -2) [0, 2]
8793 L (-11, -2) [0, 4]
8794 D (-11, -3) [0, 2]
8795 R (-10, -3) [1, 1]
8796 U (-10, -2) [1, 3]
8797 R (-9, -2) [0, 0]
8798 D (-9, -3) [0, 0]
8799 R (-8, -3) [0, 0]
8800 U (-8, -2) [0, 0]
8801 R (-7, -2) [0, 0]
8802 D (-7, -3) [0, 0]
8803 L (-8, -3) [1, 1]
8804 D (-8, -4) [0, 0]
8805 L (-9, -4) [0, 0]
8806 D (-9, -5) [0, 6]
8807 R (-8, -5) [0, 2]
8808 D (-8, -6) [0, 2]
8809 L (-9, -6) [0, 8]
8810 U (-9, -5) [1, 7]
8811 L (-10, -5) [0, 6]
8812 U (-10, -4) [1, 1]
8813 L (-11, -4) [0, 2]
8814 D (-11, -5) [0, 2]
8815 L (-12, -5) [0, 2]
8816 U (-12, -4) [1, 1]
8817 L (-13, -4) [1, 1]
8818 D (-13, -5) [0, 2]
8819 L (-14, -5) [1, 1]
8820 D (-14, -6) [1, 1]
8821 L (-15, -6) [0, 0]
8822 U (-15, -5) [0, 0]
8823 L (-16, -5) [0, 0]
8824 U (-16, -4) [0, 0]
8825 R (-15, -4) [1, 1]
8826 U (-15, -3) [1, 1]
8827 R (-14, -3) [1, 1]
8828 D (-14, -4) [0, 2]
8829 L (-15, -4) [0, 2]
8830 D (-15, -5) [1, 1]
8831 L (-16, -5) [1, 1]
8832 D (-16, -6) [0, 0]
8833 L (-17, -6) [0, 0]
8834 U (-17, -5) [0, 0]
8835 R (-16, -5) [0, 2]
8836 U (-16, -4) [1, 1]
8837 R (-15, -4) [1, 3]
8838 D (-15, -5) [0, 2]
8839 L (-16, -5) [1, 3]
8840 D (-16, -6) [1, 1]
8841 L (-17, -6) [1, 1]
8842 U (-17, -5) [1, 1]
8843 L (-18, -5) [1, 1]
8844 D (-18, -6) [1, 1]
8845 R (-17, -6) [0, 2]
8846 D (-17, -7) [1, 1]
8847 L (-18, -7) [1, 1]
8848 U (-18, -6) [0, 2]
8849 R (-17, -6) [1, 3]
8850 D (-17, -7) [0, 2]
8851 R (-16, -7) [1, 1]
8852 D (-16, -8) [1, 1]
8853 L (-17, -8) [1, 3]
8854 U (-17, -7) [1, 3]
8855 R (-16, -7) [0, 2]
8856 D (-16, -8) [0, 2]
8857 R (-15, -8) [0, 0]
8858 U (-15, -7) [0, 0]
8859 R (-14, -7) [1, 1]
8860 D (-14, -8) [1, 1]
8861 R (-13, -8) [1, 1]
8862 D (-13, -9) [1, 1]
8863 L (-14, -9) [1, 1]
8864 U (-14, -8) [0, 2]
8865 L (-15, -8) [1, 1]
8866 D (-15, -9) [1, 1]
8867 R (-14, -9) [0, 2]
8868 D (-14, -10) [1, 1]
8869 R (-13, -10) [1, 1]
8870 D (-13, -11) [1, 1]
8871 L (-14, -11) [1, 1]
8872 U (-14, -10) [0, 2]
8873 L (-15, -10) [0, 2]
8874 D (-15, -11) [1, 3]
8875 R (-14, -11) [0, 2]
8876 U (-14, -10) [1, 3]
8877 R (-13, -10) [0, 2]
8878 D (-13, -11) [0, 2]
8879 R (-12, -11) [1, 1]
8880 D (-12, -12) [1, 1]
8881 L (-13, -12) [0, 2]
8882 D (-13, -13) [1, 5]
8883 R (-12, -13) [0, 2]
8884 D (-12, -14) [1, 5]
8885 L (-13, -14) [1, 7]
8886 D (-13, -15) [1, 5]
8887 L (-14, -15) [1, 5]
8888 D (-14, -16) [0, 2]
8889 L (-15, -16) [1, 3]
8890 U (-15, -15) [0, 6]
8891 L (-16, -15) [1, 5]
8892 D (-16, -16) [0, 6]
8893 R (-15, -16) [0, 4]
8894 D (-15, -17) [1, 5]
8895 L (-16, -17) [1, 9]
8896 U (-16, -16) [1, 7]
8897 R (-15, -16) [1, 5]
8898 D (-15, -17) [0, 6]
8899 L (-16, -17) [0, 10]
8900 D (-16, -18) [0, 12]
8901 L (-17, -18) [1, 9]
8902 U (-17, -17) [0, 10]
8903 R (-16, -17) [1, 11]
8904 U (-16, -16) [0, 8]
8905 L (-17, -16) [1, 5]
8906 U (-17, -15) [0, 4]
8907 L (-18, -15) [1, 5]
8908 U (-18, -14) [1, 7]
8909 L (-19, -14) [0, 8]
8910 U (-19, -13) [1, 9]
8911 L (-20, -13) [1, 7]
8912 U (-20, -12) [0, 6]
8913 R (-19, -12) [0, 8]
8914 U (-19, -11) [0, 2]
8915 R (-18, -11) [1, 1]
8916 D (-18, -12) [0, 8]
8917 L (-19, -12) [1, 9]
8918 U (-19, -11) [1, 3]
8919 R (-18, -11) [0, 2]
8920 D (-18, -12) [1, 9]
8921 L (-19, -12) [0, 10]
8922 D (-19, -13) [0, 10]
8923 L (-20, -13) [0, 8]
8924 U (-20, -12) [1, 7]
8925 L (-21, -12) [1, 5]
8926 U (-21, -11) [1, 3]
8927 L (-22, -11) [1, 3]
8928 U (-22, -10) [1, 3]
8929 R (-21, -10) [0, 2]
8930 D (-21, -11) [0, 4]
8931 R (-20, -11) [1, 3]
8932 U (-20, -10) [1, 1]
8933 L (-21, -10) [1, 3]
8934 D (-21, -11) [1, 5]
8935 L (-22, -11) [0, 4]
8936 D (-22, -12) [1, 3]
8937 L (-23, -12) [1, 3]
8938 U (-23, -11) [1, 1]
8939 R (-22, -11) [1, 5]
8940 U (-22, -10) [0, 4]
8941 R (-21, -10) [0, 4]
8942 U (-21, -9) [0, 8]
8943 L (-22, -9) [0, 8]
8944 D (-22, -10) [1, 5]
8945 L (-23, -10) [1, 5]
8946 D (-23, -11) [0, 2]
8947 R (-22, -11) [0, 6]
8948 U (-22, -10) [0, 6]
8949 L (-23, -10) [0, 6]
8950 D (-23, -11) [1, 3]
8951 R (-22, -11) [1, 7]
8952 U (-22, -10) [1, 7]
8953 L (-23, -10) [1, 7]
8954 D (-23, -11) [0, 4]
8955 R (-22, -11) [0, 8]
8956 U (-22, -10) [0, 8]
8957 R (-21, -10) [1, 5]
8958 U (-21, -9) [1, 9]
8959 L (-22, -9) [1, 9]
8960 D (-22, -10) [1, 9]
8961 L (-23, -10) [0, 8]
8962 D (-23, -11) [1, 5]
8963 L (-24, -11) [0, 2]
8964 D (-24, -12) [1, 3]
8965 R (-23, -12) [0, 4]
8966 D (-23, -13) [0, 4]
8967 L (-24, -13) [1, 3]
8968 U (-24, -12) [0, 4]
8969 L (-25, -12) [0, 2]
8970 D (-25, -13) [1, 3]
8971 L (-26, -13) [0, 2]
8972 U (-26, -12) [0, 2]
8973 L (-27, -12) [0, 2]
8974 U (-27, -11) [0, 2]
8975 L (-28, -11) [1, 1]
8976 D (-28, -12) [0, 0]
8977 L (-29, -12) [0, 0]
8978 D (-29, -13) [0, 0]
8979 L (-30, -13) [0, 0]
8980 U (-30, -12) [0, 0]
8981 L (-31, -12) [0, 0]
8982 U (-31, -11) [0, 0]
8983 R (-30, -11) [0, 0]
8984 D (-30, -12) [1, 1]
8985 R (-29, -12) [1, 1]
8986 D (-29, -13) [1, 1]
8987 R (-28, -13) [0, 0]
8988 D (-28, -14) [0, 0]
8989 L (-29, -14) [0, 0]
8990 U (-29, -13) [0, 2]
8991 R (-28, -13) [1, 1]
8992 U (-28, -12) [1, 1]
8993 L (-29, -12) [0, 2]
8994 U (-29, -11) [0, 0]
8995 L (-30, -11) [1, 1]
8996 U (-30, -10) [0, 0]
8997 L (-31, -10) [0, 0]
8998 U (-31, -9) [0, 0]
8999 R (-30, -9) [0, 0]
9000 D (-30, -10) [1, 1]
9001 R (-29, -10) [1, 1]
9002 D (-29, -11) [1, 1]
9003 L (-30, -11) [0, 2]
9004 U (-30, -10) [0, 2]
9005 R (-29, -10) [0, 2]
9006 U (-29, -9) [1, 1]
9007 L (-30, -9) [1, 1]
9008 D (-30, -10) [1, 3]
9009 R (-29, -10) [1, 3]
9010 U (-29, -9) [0, 2]
9011 L (-30, -9) [0, 2]
9012 D (-30, -10) [0, 4]
9013 R (-29, -10) [0, 4]
9014 D (-29, -11) [0, 2]
9015 L (-30, -11) [1, 3]
9016 D (-30, -12) [0, 2]
9017 R (-29, -12) [1, 3]
9018 D (-29, -13) [1, 3]
9019 L (-30, -13) [1, 1]
9020 U (-30, -12) [1, 3]
9021 L (-31, -12) [1, 1]
9022 D (-31, -13) [0, 0]
9023 L (-32, -13) [0, 0]
9024 U (-32, -12) [0, 0]
9025 R (-31, -12) [0, 2]
9026 U (-31, -11) [1, 1]
9027 L (-32, -11) [0, 0]
9028 D (-32, -12) [1, 1]
9029 L (-33, -12) [0, 0]
9030 D (-33, -13) [0, 0]
9031 R (-32, -13) [1, 1]
9032 D (-32, -14) [0, 0]
9033 L (-33, -14) [0, 0]
9034 U (-33, -13) [1, 1]
9035 L (-34, -13) [0, 0]
9036 U (-34, -12) [0, 0]
9037 L (-35, -12) [0, 0]
9038 U (-35, -11) [0, 0]
9039 L (-36, -11) [0, 0]
9040 U (-36, -10) [0, 0]
9041 R (-35, -10) [0, 0]
9042 U (-35, -9) [0, 0]
9043 R (-34, -9) [0, 0]
9044 D (-34, -10) [0, 0]
9045 R (-33, -10) [0, 0]
9046 D (-33, -11) [0, 0]
9047 L (-34, -11) [0, 0]
9048 U (-34, -10) [1, 1]
9049 L (-35, -10) [1, 1]
9050 D (-35, -11) [1, 1]
9051 R (-34, -11) [1, 1]
9052 U (-34, -10) [0, 2]
9053 R (-33, -10) [1, 1]
9054 U (-33, -9) [0, 0]
9055 R (-32, -9) [0, 0]
9056 D (-32, -10) [0, 0]
9057 L (-33, -10) [0, 2]
9058 U (-33, -9) [1, 1]
9059 R (-32, -9) [1, 1]
9060 D (-32, -10) [1, 1]
9061 L (-33, -10) [1, 3]
9062 U (-33, -9) [0, 2]
9063 R (-32, -9) [0, 2]
9064 U (-32, -8) [0, 0]
9065 R (-31, -8) [0, 0]
9066 D (-31, -9) [1, 1]
9067 R (-30, -9) [1, 3]
9068 U (-30, -8) [0, 0]
9069 L (-31, -8) [1, 1]
9070 U (-31, -7) [0, 0]
9071 L (-32, -7) [0, 0]
9072 D (-32, -8) [1, 1]
9073 R (-31, -8) [0, 2]
9074 D (-31, -9) [0, 2]
9075 L (-32, -9) [1, 3]
9076 D (-32, -10) [0, 2]
9077 R (-31, -10) [1, 1]
9078 D (-31, -11) [0, 2]
9079 L (-32, -11) [1, 1]
9080 U (-32, -10) [1, 3]
9081 L (-33, -10) [0, 4]
9082 U (-33, -9) [1, 3]
9083 R (-32, -9) [0, 4]
9084 D (-32, -10) [0, 4]
9085 L (-33, -10) [1, 5]
9086 U (-33, -9) [0, 4]
9087 R (-32, -9) [1, 5]
9088 D (-32, -10) [1, 5]
9089 R (-31, -10) [0, 2]
9090 U (-31, -9) [1, 3]
9091 R (-30, -9) [0, 4]
9092 D (-30, -10) [1, 5]
9093 L (-31, -10) [1, 3]
9094 D (-31, -11) [1, 3]
9095 R (-30, -11) [0, 4]
9096 U (-30, -10) [0, 6]
9097 R (-29, -10) [1, 5]
9098 D (-29, -11) [1, 3]
9099 L (-30, -11) [1, 5]
9100 D (-30, -12) [0, 4]
9101 R (-29, -12) [0, 4]
9102 D (-29, -13) [0, 4]
9103 R (-28, -13) [0, 2]
9104 U (-28, -12) [0, 2]
9105 L (-29, -12) [1, 5]
9106 D (-29, -13) [1, 5]
9107 R (-28, -13) [1, 3]
9108 D (-28, -14) [1, 1]
9109 L (-29, -14) [1, 1]
9110 U (-29, -13) [0, 6]
9111 R (-28, -13) [0, 4]
9112 D (-28, -14) [0, 2]
9113 L (-29, -14) [0, 2]
9114 U (-29, -13) [1, 7]
9115 L (-30, -13) [0, 2]
9116 D (-30, -14) [0, 0]
9117 R (-29, -14) [1, 3]
9118 D (-29, -15) [0, 0]
9119 R (-28, -15) [0, 0]
9120 U (-28, -14) [1, 3]
9121 L (-29, -14) [0, 4]
9122 U (-29, -13) [0, 8]
9123 R (-28, -13) [1, 5]
9124 U (-28, -12) [1, 3]
9125 R (-27, -12) [1, 3]
9126 U (-27, -11) [1, 3]
9127 L (-28, -11) [0, 2]
9128 D (-28, -12) [0, 4]
9129 L (-29, -12) [0, 6]
9130 U (-29, -11) [0, 4]
9131 L (-30, -11) [0, 6]
9132 U (-30, -10) [1, 7]
9133 L (-31, -10) [0, 4]
9134 D (-31, -11) [0, 4]
9135 R (-30, -11) [1, 7]
9136 D (-30, -12) [1, 5]
9137 L (-31, -12) [1, 3]
9138 D (-31, -13) [1, 1]
9139 R (-30, -13) [1, 3]
9140 U (-30, -12) [0, 6]
9141 R (-29, -12) [1, 7]
9142 U (-29, -11) [1, 5]
9143 R (-28, -11) [1, 3]
9144 U (-28, -10) [1, 1]
9145 L (-29, -10) [0, 6]
9146 D (-29, -11) [0, 6]
9147 R (-28, -11) [0, 4]
9148 U (-28, -10) [0, 2]
9149 L (-29, -10) [1, 7]
9150 U (-29, -9) [1, 3]
9151 L (-30, -9) [1, 5]
9152 U (-30, -8) [1, 1]
9153 R (-29, -8) [0, 0]
9154 U (-29, -7) [0, 2]
9155 L (-30, -7) [1, 1]
9156 D (-30, -8) [0, 2]
9157 L (-31, -8) [1, 3]
9158 D (-31, -9) [0, 4]
9159 L (-32, -9) [0, 6]
9160 D (-32, -10) [0, 6]
9161 R (-31, -10) [1, 5]
9162 D (-31, -11) [1, 5]
9163 L (-32, -11) [0, 2]
9164 U (-32, -10) [1, 7]
9165 L (-33, -10) [0, 6]
9166 D (-33, -11) [1, 1]
9167 R (-32, -11) [1, 3]
9168 D (-32, -12) [0, 2]
9169 L (-33, -12) [1, 1]
9170 D (-33, -13) [0, 2]
9171 L (-34, -13) [1, 1]
9172 U (-34, -12) [1, 1]
9173 R (-33, -12) [0, 2]
9174 D (-33, -13) [1, 3]
9175 L (-34, -13) [0, 2]
9176 U (-34, -12) [0, 2]
9177 L (-35, -12) [1, 1]
9178 U (-35, -11) [0, 2]
9179 R (-34, -11) [0, 2]
9180 U (-34, -10) [1, 3]
9181 L (-35, -10) [0, 2]
9182 D (-35, -11) [1, 3]
9183 L (-36, -11) [1, 1]
9184 D (-36, -12) [0, 0]
9185 R (-35, -12) [0, 2]
9186 D (-35, -13) [0, 0]
9187 L (-36, -13) [0, 0]
9188 D (-36, -14) [0, 0]
9189 L (-37, -14) [0, 0]
9190 U (-37, -13) [0, 0]
9191 L (-38, -13) [0, 0]
9192 U (-38, -12) [0, 0]
9193 L (-39, -12) [0, 0]
9194 D (-39, -13) [0, 0]
9195 L (-40, -13) [0, 0]
9196 U (-40, -12) [0, 0]
9197 R (-39, -12) [1, 1]
9198 U (-39, -11) [0, 0]
9199 R (-38, -11) [0, 0]
9200 D (-38, -12) [1, 1]
9201 R (-37, -12) [0, 0]
9202 D (-37, -13) [1, 1]
9203 R (-36, -13) [1, 1]
9204 U (-36, -12) [1, 1]
9205 L (-37, -12) [1, 1]
9206 D (-37, -13) [0, 2]
9207 L (-38, -13) [1, 1]
9208 U (-38, -12) [0, 2]
9209 R (-37, -12) [0, 2]
9210 D (-37, -13) [1, 3]
9211 L (-38, -13) [0, 2]
9212 U (-38, -12) [1, 3]
9213 R (-37, -12) [1, 3]
9214 D (-37, -13) [0, 4]
9215 R (-36, -13) [0, 2]
9216 U (-36, -12) [0, 2]
9217 R (-35, -12) [1, 3]
9218 D (-35, -13) [1, 1]
9219 R (-34, -13) [1, 3]
9220 U (-34, -12) [1, 3]
9221 R (-33, -12) [1, 3]
9222 U (-33, -11) [0, 2]
9223 L (-34, -11) [1, 3]
9224 U (-34, -10) [0, 4]
9225 R (-33, -10) [1, 7]
9226 U (-33, -9) [1, 5]
9227 L (-34, -9) [1, 1]
9228 U (-34, -8) [0, 0]
9229 L (-35, -8) [0, 0]
9230 D (-35, -9) [1, 1]
9231 L (-36, -9) [0, 0]
9232 D (-36, -10) [1, 1]
9233 R (-35, -10) [1, 3]
9234 D (-35, -11) [0, 4]
9235 L (-36, -11) [0, 2]
9236 D (-36, -12) [1, 3]
9237 L (-37, -12) [0, 4]
9238 D (-37, -13) [1, 5]
9239 R (-36, -13) [1, 3]
9240 U (-36, -12) [0, 4]
9241 L (-37, -12) [1, 5]
9242 D (-37, -13) [0, 6]
9243 R (-36, -13) [0, 4]
9244 U (-36, -12) [1, 5]
9245 L (-37, -12) [0, 6]
9246 U (-37, -11) [0, 0]
9247 L (-38, -11) [1, 1]
9248 D (-38, -12) [0, 4]
9249 R (-37, -12) [1, 7]
9250 D (-37, -13) [1, 7]
9251 R (-36, -13) [1, 5]
9252 D (-36, -14) [1, 1]
9253 R (-35, -14) [0, 0]
9254 D (-35, -15) [0, 0]
9255 R (-34, -15) [0, 0]
9256 D (-34, -16) [0, 0]
9257 L (-35, -16) [0, 0]
9258 D (-35, -17) [0, 0]
9259 L (-36, -17) [0, 0]
9260 D (-36, -18) [0, 0]
9261 R (-35, -18) [0, 0]
9262 U (-35, -17) [1, 1]
9263 R (-34, -17) [0, 0]
9264 D (-34, -18) [0, 0]
9265 L (-35, -18) [1, 1]
9266 D (-35, -19) [0, 0]
9267 L (-36, -19) [0, 0]
9268 U (-36, -18) [1, 1]
9269 L (-37, -18) [0, 0]
9270 U (-37, -17) [0, 0]
9271 R (-36, -17) [1, 1]
9272 U (-36, -16) [0, 0]
9273 L (-37, -16) [0, 0]
9274 U (-37, -15) [0, 0]
9275 R (-36, -15) [0, 0]
9276 U (-36, -14) [0, 2]
9277 R (-35, -14) [1, 1]
9278 U (-35, -13) [0, 2]
9279 L (-36, -13) [0, 6]
9280 U (-36, -12) [0, 6]
9281 R (-35, -12) [0, 4]
9282 U (-35, -11) [1, 5]
9283 L (-36, -11) [1, 3]
9284 D (-36, -12) [1, 7]
9285 R (-35, -12) [1, 5]
9286 U (-35, -11) [0, 6]
9287 R (-34, -11) [0, 4]
9288 U (-34, -10) [1, 5]
9289 L (-35, -10) [0, 4]
9290 U (-35, -9) [0, 2]
9291 R (-34, -9) [0, 2]
9292 D (-34, -10) [0, 6]
9293 R (-33, -10) [0, 8]
9294 U (-33, -9) [0, 6]
9295 L (-34, -9) [1, 3]
9296 U (-34, -8) [1, 1]
9297 L (-35, -8) [1, 1]
9298 D (-35, -9) [1, 3]
9299 L (-36, -9) [1, 1]
9300 D (-36, -10) [0, 2]
9301 L (-37, -10) [0, 0]
9302 U (-37, -9) [0, 0]
9303 R (-36, -9) [0, 2]
9304 D (-36, -10) [1, 3]
9305 R (-35, -10) [1, 5]
9306 D (-35, -11) [1, 7]
9307 L (-36, -11) [0, 4]
9308 D (-36, -12) [0, 8]
9309 R (-35, -12) [0, 6]
9310 U (-35, -11) [0, 8]
9311 R (-34, -11) [1, 5]
9312 U (-34, -10) [1, 7]
9313 L (-35, -10) [0, 6]
9314 U (-35, -9) [0, 4]
9315 L (-36, -9) [1, 3]
9316 U (-36, -8) [0, 0]
9317 L (-37, -8) [0, 0]
9318 U (-37, -7) [0, 0]
9319 R (-36, -7) [0, 0]
9320 D (-36, -8) [1, 1]
9321 R (-35, -8) [0, 2]
9322 U (-35, -7) [0, 0]
9323 L (-36, -7) [1, 1]
9324 D (-36, -8) [0, 2]
9325 L (-37, -8) [1, 1]
9326 U (-37, -7) [1, 1]
9327 L (-38, -7) [0, 0]
9328 U (-38, -6) [0, 0]
9329 R (-37, -6) [0, 0]
9330 D (-37, -7) [0, 2]
9331 R (-36, -7) [0, 2]
9332 D (-36, -8) [1, 3]
9333 R (-35, -8) [1, 3]
9334 D (-35, -9) [1, 5]
9335 R (-34, -9) [0, 4]
9336 U (-34, -8) [0, 2]
9337 L (-35, -8) [0, 4]
9338 U (-35, -7) [1, 1]
9339 L (-36, -7) [1, 3]
9340 D (-36, -8) [0, 4]
9341 L (-37, -8) [0, 2]
9342 U (-37, -7) [1, 3]
9343 R (-36, -7) [0, 4]
9344 U (-36, -6) [0, 0]
9345 L (-37, -6) [1, 1]
9346 D (-37, -7) [0, 4]
9347 L (-38, -7) [1, 1]
9348 D (-38, -8) [0, 0]
9349 R (-37, -8) [1, 3]
9350 D (-37, -9) [1, 1]
9351 R (-36, -9) [0, 4]
9352 D (-36, -10) [0, 4]
9353 R (-35, -10) [1, 7]
9354 U (-35, -9) [0, 6]
9355 R (-34, -9) [1, 5]
9356 D (-34, -10) [0, 8]
9357 L (-35, -10) [0, 8]
9358 D (-35, -11) [1, 9]
9359 R (-34, -11) [0, 6]
9360 U (-34, -10) [1, 9]
9361 R (-33, -10) [1, 9]
9362 U (-33, -9) [1, 7]
9363 L (-34, -9) [0, 6]
9364 D (-34, -10) [0, 10]
9365 L (-35, -10) [1, 9]
9366 U (-35, -9) [1, 7]
9367 L (-36, -9) [1, 5]
9368 D (-36, -10) [1, 5]
9369 L (-37, -10) [1, 1]
9370 D (-37, -11) [1, 1]
9371 L (-38, -11) [0, 2]
9372 D (-38, -12) [1, 5]
9373 L (-39, -12) [0, 2]
9374 U (-39, -11) [1, 1]
9375 L (-40, -11) [0, 0]
9376 D (-40, -12) [1, 1]
9377 L (-41, -12) [0, 0]
9378 D (-41, -13) [0, 0]
9379 R (-40, -13) [1, 1]
9380 D (-40, -14) [0, 0]
9381 R (-39, -14) [0, 0]
9382 D (-39, -15) [0, 0]
9383 R (-38, -15) [0, 0]
9384 D (-38, -16) [0, 0]
9385 R (-37, -16) [1, 1]
9386 U (-37, -15) [1, 1]
9387 R (-36, -15) [1, 1]
9388 U (-36, -14) [1, 3]
9389 L (-37, -14) [1, 1]
9390 U (-37, -13) [0, 8]
9391 R (-36, -13) [1, 7]
9392 U (-36, -12) [1, 9]
9393 L (-37, -12) [0, 8]
9394 U (-37, -11) [0, 2]
